link,title,subtitle
https://www.br104.com.br/coronavirus/com-suspeita-de-covid19-morre-o-desembargador-jairon-maia-fernandes-aos-86-anos/,"Com suspeita de Covid-19, morre o desembargador Jairon Maia Fernandes aos 86 anos","Ele era avô do prefeito de Branquinha, Jairon Maia Fernandes Neto"
https://www.br104.com.br/policia/tiroteio-entre-policiais-e-traficantes-assustam-moradores-da-gruta-de-lourdes-em-maceio/,Tiroteio entre policiais e traficantes assustam moradores da Gruta de Lourdes em Maceió,"Um suspeito conseguiu fugir na ação, com o segundo, a PM encontrou arma, munições deflagradas e 100 gramas de maconha, além de uma balança de precisão"
https://www.br104.com.br/brasil/por-75x1-senado-aprova-pl-que-adia-o-enem-2020/,Por 75X1 Senado aprova PL que adia o ENEM 2020,"O texto agora deve passar pela Câmara, antes de seguir para sanção do presidente Jair Bolsonaro."
https://www.br104.com.br/uniao-dos-palmares/uniao-dos-palmares-e-a-2a-cidade-em-alagoas-com-mais-mortes-por-covid-19/,União dos Palmares é a 2ª cidade em Alagoas com mais mortes por Covid-19,"São 8 mortes confirmadas, a última, registrada nesta terça (19), trata-se de uma mulher de 50 anos."
https://www.br104.com.br/coronavirus/com-234-obitos-alagoas-tem-86-cidades-com-casos-de-covid-19/,"Com 234 óbitos, Alagoas tem 86 cidades com casos de Covid-19","Mais treze mortes foram confirmadas, laboratorialmente, por causa da Covid-19 nas últimas 24 horas no estado."
https://www.br104.com.br/justica/covid-19-operacao-do-mp-al-fiscaliza-cumprimento-dos-decretos-em-uniao-dos-palmares/,Covid-19: Operação do MP/AL fiscaliza cumprimento dos decretos em União dos Palmares,Crianças e adolescentes que forem flagrados também em descumprimento aos decretos serão apresentados à autoridade policial
https://www.br104.com.br/coronavirus/6-deputados-estaduais-testaram-positivo-para-coronavirus-em-alagoas/,6 deputados estaduais testaram positivo para coronavírus em Alagoas,"Mesmo com as sessões ordinárias da Assembleia Legislativa acontecendo de forma remota, não conseguiram evitar o contágio da doença."
https://www.br104.com.br/uniao-dos-palmares/prefeitura-cria-central-de-triagem-para-pessoas-com-sintomas-gripais-em-uniao-dos-palmares/,Prefeitura cria Central de Triagem para pessoas com sintomas gripais em União dos Palmares,"O posto de saúde do conjunto Padre Donald atenderá exclusivamente casos de pacientes com sintomas gripais, de domingo a domingo."
https://www.br104.com.br/alagoas/prefeitura-de-jequia-da-praia-interdita-acessos-a-cidade/,Prefeitura de Jequiá da Praia interdita acessos à cidade,"Apenas moradores terão acesso ao município, e para isso devem apresentar comprovante de residência"
https://www.br104.com.br/alagoas/jhc-junta-uber-e-santa-casa-de-maceio-para-garantir-corridas-gratuitas-a-quem-for-doar-sangue/,JHC junta Uber e Santa Casa de Maceió para garantir corridas gratuitas a quem for doar sangue,Presidente da Frente Digital conseguiu trazer mais outra empresa de tecnologia para ajudar os maceioenses
